feature,test,statistic,p_value,pd_mean,tbi_mean,pd_std,tbi_std
spectral_slope,Mann-Whitney U,0.0,1.6883084840179757e-41,-0.0019428231578947368,-0.0009097644732824428,0.00018568887076583472,5.822849752802681e-05
spectral_centroid_std,t-test,-15.834284754674542,2.8217759401356835e-37,454.2046120815387,686.7517580048342,129.50979130533807,93.5053961062042
delta2_mfcc_2_max,t-test,-15.59189749907826,3.0051045621480792e-36,13.136569328438979,18.15896094658962,2.875036903933139,1.994798203416898
delta2_mfcc_2_min,t-test,14.67965772498084,3.6877580298545298e-34,-11.467798149333332,-15.543415411526718,2.385238479427935,1.8642480085056894
delta_mfcc_2_std,Mann-Whitney U,755.0,7.340475347558546e-34,5.915792737412844,8.691816318965586,1.3826230061929703,0.9548259540653772
delta2_mfcc_2_std,Mann-Whitney U,772.0,1.0677261880939045e-33,3.4965047765149735,5.151459731173281,0.816913026177635,0.5889576133684452
mfcc_2_std,Mann-Whitney U,1083.0,8.584237120390968e-31,32.30301091675477,44.78680426693652,7.49541525302544,4.5267947796653605
spectral_centroid_max,t-test,-14.107846101269807,1.1042271702947868e-30,3150.9980044133667,3898.709760031995,496.11612911484843,286.367253777291
delta_mfcc_2_max,t-test,-13.893567387463209,3.7847487440754896e-30,20.233362549165122,27.005053236376284,4.546194166397782,2.665542997655624
delta_mfcc_2_min,t-test,13.660709249402451,4.135759696614383e-30,-19.375362956991232,-26.161939824427485,4.491314863435243,2.979615695459385
delta_mfcc_2_mean,Mann-Whitney U,13717.0,1.3914962215208665e-29,0.013797491494574444,-0.03675669546564885,0.022860639059580322,0.033295324576820495
zcr_std,Mann-Whitney U,1348.0,2.0032684757124982e-28,0.048187178420888474,0.08255002468240374,0.020162188047900882,0.014238239776214245
zcr_max,t-test,-13.286005598035793,7.8054829696842685e-28,0.3559741640526316,0.4959856573206108,0.10079399510831263,0.05243399648463767
tonnetz_6_median,Mann-Whitney U,1567.0,1.527999584275798e-26,-0.015413878741486,0.014379900396946565,0.024531300019908327,0.013965036635309468
spectral_spread,Mann-Whitney U,1710.0,2.381482724419335e-25,1192.0639476028507,1402.6363117937733,120.04599461657392,124.79869436600309
tonnetz_6_mean,Mann-Whitney U,1819.0,1.847881774022601e-24,-0.011766669137659025,0.015530253381679387,0.02335250338944601,0.01396601140805909
spectral_rolloff_std,t-test,-11.793770086380734,4.727231902237014e-24,974.7929060835107,1194.6882126207379,173.98930839098887,101.81531079143377
lpc_4,Mann-Whitney U,12926.0,5.888470118251801e-23,2862.967438355904,-3177.3999336415877,26702.68977040269,36489.216090507645
spectral_bandwidth_p2_mean,Mann-Whitney U,2017.0,6.92368946839258e-23,1157.56116354458,1266.176375549437,87.5772731445568,58.26565730552419
lpc_5,Mann-Whitney U,2054.0,1.343685332658392e-22,-4292.679348054003,3547.6979621483965,37076.18995695026,40859.9115593193
mfcc_2_min,Mann-Whitney U,12873.0,1.5223902923673706e-22,22.993931753075607,-12.724667274923988,27.57077184316885,17.961330054856816
lpc_6,Mann-Whitney U,12807.0,4.906768637591633e-22,4363.514468075716,-3140.4275208186573,36297.77027430763,36257.47143920768
lpc_3,Mann-Whitney U,2150.0,7.353102066057715e-22,-1176.9005483345336,2112.9174756004654,13050.19936194457,24200.3275201347
lpc_7,Mann-Whitney U,2203.0,1.8554920943966417e-21,-3065.094275586622,2075.2904829022445,25056.753921612428,24008.45266108767
pause_duration_min,Mann-Whitney U,3024.5,2.0130625432239755e-21,0.02638596491227925,0.03346564885496184,0.015997537514413532,0.00957357823133578
delta_mfcc_4_mean,Mann-Whitney U,2301.0,1.0031643024263846e-20,-0.0012016666068493983,0.02333332966412214,0.01577283445478836,0.019890161439829013
zcr_mean,Mann-Whitney U,2320.0,1.3864604277321442e-20,0.08118886397188169,0.10944189282579396,0.02488424418431203,0.014341591509812816
lpc_2,Mann-Whitney U,12581.0,2.425444552699008e-20,151.61155467616732,-734.4129912726456,3509.9617859285427,8408.242014170286
lpc_8,Mann-Whitney U,12448.0,2.229466575307377e-19,1364.1573231009722,-731.7686445394538,11204.229004109047,8507.443827904586
lpc_9,Mann-Whitney U,2542.0,5.577320372130278e-19,-279.09585507013566,4.562931491519084,2463.2604831945237,92.49919775407214
spectral_rolloff_max,Mann-Whitney U,2551.5,6.4733881068609e-19,5106.085526315789,5490.577290076336,371.2764219383351,226.90200928434862
cpps_median,Mann-Whitney U,2587.0,1.156755700191106e-18,141.71068246945256,154.37565823595736,11.810908067377408,9.004118415642798
spectral_contrast_std,t-test,9.588379468615623,2.189002724709568e-18,15.420594676820814,14.40262063011892,0.8998091222857678,0.7306408854856111
spectral_flatness_median,Mann-Whitney U,2632.0,2.3835234852743117e-18,1.6375699565874044e-07,3.301660977221301e-07,6.310532885488546e-07,6.214600522365352e-07
delta_mfcc_10_mean,t-test,-9.265906834041926,1.1113999467039656e-17,-0.0007129747070425782,0.008429882564885496,0.006824722906230116,0.00854319581556079
spectral_centroid_mean,t-test,-9.358387851220671,4.539134467941336e-17,1118.6583824261706,1315.2572383261445,198.25871845913693,110.2385608193688
spectral_bandwidth_p2_median,Mann-Whitney U,2822.0,4.694900026972871e-17,1112.9745006295489,1225.0043943022122,101.03531129834383,88.95600807609101
pitch_hz_median,Mann-Whitney U,12076.0,8.150528103347334e-17,153.19932960879805,115.35312764389612,35.0545162055947,35.41369322690225
lpc_1,Mann-Whitney U,2884.0,1.210800747901231e-16,73.67321812132985,-4.066834208894323,548.2466466093185,26.63321180554062
chroma_stft_std,Mann-Whitney U,12029.0,1.6642316020608518e-16,0.31504166198879285,0.3043100392709764,0.009044632621404699,0.008663337547609689
